关键词	词频	权重
尼玛	42	1
王尼玛	33	0.9609
肾结石	20	0.9517
喝水	12	0.845
尼玛	8	0.8371
节目	12	0.8319
大事	11	0.8271
输尿管	8	0.8234
女权	7	0.8175
结石	8	0.8156
管子	7	0.799
女性	9	0.7942
手术	9	0.7841
运动	9	0.7776
文化	8	0.7692
医生	7	0.7691
身体	6	0.7461
碎石	5	0.7414
古代	5	0.7342
打牌	5	0.7334
老公	5	0.7332
华为	4	0.7263
激光	5	0.7251
王者	4	0.7241
粉丝	4	0.7228
父母	5	0.7224
异性	4	0.7191
远离	4	0.7134
补肾	4	0.713
大男子主义	3	0.7126
柯达	5	0.7108
剑齿虎	4	0.7106
头套	3	0.71
可乐	4	0.7085
会长	4	0.7077
谢谢	4	0.7038
老师	4	0.702
健康	4	0.7018
嫌弃	3	0.6999
泌尿	3	0.6986
同学	4	0.6972
离职	3	0.6936
吐槽	3	0.6928
可笑	3	0.6919
外科	3	0.6912
体内	3	0.685
保养	3	0.6841
放到	3	0.6831
温暖	3	0.6829
狗狗	3	0.6829
大师	3	0.6799
员工	3	0.6777
回到	3	0.6773
中医	3	0.6772
尊重	3	0.6756
世界	3	0.6734
反讽	2	0.6708
饮料	3	0.6701
飘洒	2	0.6697
国学大师	2	0.6695
骁勇善战	2	0.6693
节目组	2	0.6691
抹黑	2	0.6679
英雄豪杰	2	0.6678
位能	2	0.6678
罪恶感	2	0.6664
预防	3	0.6645
欺压	2	0.6645
学习	3	0.6642
可敬	2	0.6636
结婚	3	0.6635
花言巧语	2	0.6632
播报	2	0.6623
上策	2	0.6622
荒诞	2	0.662
办法	3	0.6589
腰间	2	0.6582
农药	3	0.6576
说白了	2	0.6573
老朋友	2	0.6566
武则天	2	0.6555
术后	2	0.6554
最差	2	0.6552
霸主	2	0.6551
物种	2	0.6544
舍友	2	0.6543
偏好	2	0.6542
调侃	2	0.6539
偏见	2	0.6538
坏人	2	0.6536
讽刺	2	0.6533
画家	2	0.6529
莫名	2	0.6524
挽回	2	0.6523
抱歉	2	0.6517
追捧	2	0.6517
片面	2	0.6517
默默	2	0.6511
平凡	2	0.651
强迫	2	0.6508
看似	2	0.6502
不值	2	0.6497
束缚	2	0.6496
时段	2	0.6496
幽默	2	0.6492
有种	2	0.6492
安静	2	0.6489
肾虚	2	0.6488
草原	2	0.6488
消灭	2	0.6485
将军	2	0.6483
设计师	2	0.6481
一期	2	0.6481
尊严	2	0.6473
理性	2	0.6468
淘汰	2	0.6465
有过之无不及	2	0.6464
证据	2	0.6463
故意	2	0.6463
大头	2	0.6461
男性	2	0.6458
恶意	2	0.6458
智慧	2	0.6457
成分	2	0.6456
试管	2	0.6453
对比	2	0.645
胡适	2	0.6441
皮肤	2	0.6431
心里	2	0.6427
真实	2	0.6425
日子	2	0.642
物质	2	0.6419
寻找	2	0.6416
收入	2	0.6414
变得	2	0.6409
追求	2	0.64
个案	2	0.64
捐款	2	0.6399
自由	2	0.6398
打工	2	0.6395
打结	2	0.6394
思想	2	0.6389
体外	2	0.6388
销售	2	0.6385
医学	2	0.6379
打打	2	0.6378
小弟	2	0.6375
环境	2	0.6359
金钱草	2	0.6358
机器人	2	0.6354
